original_order;base_d;full_d;base_e;base_p;verbformen;s1;s1e;s1p;Note;Tags
146;sich bedanken ...;sich bedanken bei + D;thank at;تشکر از;;Leo, bedank dich bei dem Mann!;Leo, thank the man!;لئو، از آن آقا تشکر کن!;Leo, bedank dich ... dem Mann!;
147;sich beeilen …;sich beeilen mit + D;hurry with;عجله کردن با;;Wir müssen uns mit dem Projekt beeilen.;We need to hurry with the project.; ما باید برای این پروژه عجله کنیم.;;
148;sich befreien ...;sich befreien von + D;free oneself from;رها شدن از;;Er hat sich von seinen Sorgen befreit.;He has freed himself from his worries.;او خودش را از نگرانی‌ها آزاد کرده است.;;
149;sich begeistern ...;sich begeistern für + A;be enthusiastic about;هیجان‌زده شدن برای;;Junge Menschen begeistern sich oft für neue Technologien.;Young people often get enthusiastic about new technologies.;جوانان اغلب برای تکنولوژی‌های جدید هیجان‌زده می‌شوند.;;
150;sich bekennen ...;sich bekennen zu + D;admit to;اعتراف کردن به;;Er bekennt sich zu seinen Fehlern.;He confesses to his lover.;او به اشتباهاتش اعتراف می‌کند.;;
151;sich beklagen ...;sich beklagen bei + D;complain to;شکایت کردن نزد کسی یا جایی;;Er beklagt sich bei seinem Lehrer.;He complains to his teacher.;او به معلم خود شکایت می‌کند.;Er beklagt sich ... seinem Lehrer.;
152;sich beklagen ...;sich beklagen über + A;complain about;شکایت از چیزی;;Eva beklagt sich über den Lärm.;Eva complains about the noise.;اوا از سر و صدا شکایت دارد.;Eva beklagt sich ... den Lärm.;
153;sich bemühen ...;sich bemühen um + A;make an effort for;تلاش کردن برای;;Er hat sich um ein Stipendium bemüht.;He makes an effort for a scholarship.;او برای بورسیه تلاش کرده است.;;
154;sich beraten ...;sich beraten mit + D;consult with;مشورت کردن با;;Die Politiker haben sich mit einem Experten beraten.;The politicians have consulted with an expert.;سیاستمداران با یک متخصص مشورت کردند.;;
155;sich beschäftigen ...;sich beschäftigen mit + D;be busy with;مشغول بودن به;;Ich war mit meiner Arbeit sehr beschäftigt.;I was very busy with my work.;من به شدت مشغول کارم بودم.;;
156;sich beschränken ...;sich beschränken auf + A;limit oneself to;محدود شدن به;;Mark beschränkt sich auf ein Glas Wein pro Woche.;Mark limits himself to one glass of wine per week.;مارک خودش را به یک لیوان شراب در هفته محدود کرده است.;;
157;sich beschweren ...;sich beschweren bei + D;complain to;شکایت کردن به;;Beschwer dich doch bei deinen Nachbarn!;Go complain to your neighbors!;به همسایه‌هایت شکایت کن!;Beschwer dich doch ... deinen Nachbarn!;
158;sich beschweren ...;sich beschweren über + A;complain about;شکایت از;;Du beschwerst dich ohne Grund über deinen Mann.;You complain about your husband without reason.;تو بی‌دلیل از همسرت شکایت می‌کنی.;Du beschwerst dich ohne Grund ... deinen Mann.;
159;sich beteiligen ...;sich beteiligen an + D;participate in;مشارکت کردن در;;Die Studenten beteiligen sich an der Diskussion.;The students participate in the discussion.;دانشجویان در بحث شرکت می‌کنند.;;
160;sich bewerben ...;sich bewerben bei + D;apply at;درخواست دادن به;;Ines bewirbt sich bei einem Reisebüro.;Ines is applying at a travel agency.;اینس نزد یک آژانس مسافرتی درخواست داده است.;Ines bewirbt sich ... einem Reisebüro.;
161;sich bewerben ...;sich bewerben um + D;apply for;درخواست برای;;Sie bewirbt sich um einen Job im Marketing.;She is applying for a job in marketing.;او برای یک شغل در بازاریابی درخواست داده است.;Sie bewirbt sich ... einen Job im Marketing.;
162;sich beziehen ...;sich beziehen auf + A;refer to;ارجاع دادن به;;Dieses Kapitel bezieht sich auf historische Ereignisse.;This chapter refers to historical events.;این فصل به رویدادهای تاریخی ارجاع می‌دهد.;;
163;sich drehen ...;sich drehen um + A;revolve around;حول محور چیزی چرخیدن;;Alles dreht sich um die bevorstehende Wahl.;Everything revolves around the upcoming election.;همه چیز حول محور انتخابات پیش رو می‌چرخد.;;
164;sich eignen ...;sich eignen als + N;be suitable as;مناسب بودن به عنوان;;Soja eignet sich als Fleisch-Ersatz.;Soy is suitable as a meat substitute.;سویا به عنوان جایگزین گوشت مناسب است.;;
165;sich einigen ...;sich einigen auf + A;agree on;توافق کردن بر;;Wir haben uns auf einen Termin geeinigt.;We have agreed on a date;ما بر روی یک تاریخ توافق کردیم.;Wir haben uns ... einen Termin geeinigt.;
166;sich einigen ...;sich einigen mit + D;agree with;توافق با;;Er einigte sich mit seinem Bruder.;He reached an agreement with his brother.;او با برادرش به توافق رسید.;Er einigte sich ... seinem Bruder.;
167;sich einlassen ...;sich einlassen auf + A;get involved with;دخیل شدن در;;Sie lässt sich auf ein neues Projekt ein.;She gets involved with a new project.;او در یک پروژه جدید دخیل می‌شود.;;
168;sich einsetzen ...;sich einsetzen für + A;advocate for, campaign for;کمپین کردن برای;;Jürgen setzt sich für den Umweltschutz ein.;Jürgen advocates for environmental protection.;یورگن برای حفاظت از محیط زیست کمپین می‌کند.;;
169;sich ekeln ...;sich ekeln vor + D;be disgusted by;تنفر داشتن از;;Sie ekelt sich vor Spinnen.;She is disgusted by spiders.;او از عنکبوت‌ها نفرت دارد.;;
170;sich engagieren …;sich engagieren für + A;engage in;فعالیت کردن در;;Sie engagiert sich für soziale Gerechtigkeit.;She engages in social justice.;او در زمینه عدالت اجتماعی فعالیت می‌کند.;;
171;sich entscheiden ...;sich entscheiden für + A;decide on;تصمیم گرفتن;;Er hat sich für das Studium der Medizin entschieden.;He has decided to study medicine.;او تصمیم گرفته است که پزشکی بخواند.;;
172;sich entschließen ...;sich entschließen zu + D;decide to;تصمیم گرفتن به;;Vorher hat er sich zur Kündigung entschlossen.;He previously decided to resign.;او قبلاً تصمیم به استعفا گرفته بود.;;
173;sich entschuldigen …;sich entschuldigen bei + D;apologize to;عذرخواهی کردن از;;Ich entschuldige mich bei dir.;I apologize to you.;من از تو عذرخواهی می‌کنم.;Ich entschuldige mich ... dir.;
174;sich entschuldigen …;sich entschuldigen für + A;apologize for;عذرخواهی برای;;Ich möchte mich für meinen Fehler entschuldigen.;I would like to apologize for my mistake.;می‌خواهم برای اشتباهم عذرخواهی کنم.;Ich möchte mich ... meinen Fehler entschuldigen.;
175;sich entwickeln ...;sich entwickeln zu + D;develop into;تبدیل شدن به;;Er hat sich zu einem ausgezeichneten Musiker entwickelt.;He has developed into an excellent musician.;او به یک موزیسین عالی تبدیل شده است.;;
176;sich erholen ...;sich erholen von + D;recover from;بهبود یافتن از;;Jetzt muss ich mich von dem Stress erholen.;Now I must recover from the stress.;حالا باید از استرس بهبود پیدا کنم.;;
177;sich erinnern ...;sich erinnern an + A;remember;به یاد داشتن;;Erinnerst du dich an unseren Urlaub?;Do you remember our vacation?;آیا تعطیلات ما را به یاد داری؟;;
178;sich erkundigen ...;sich erkundigen bei + D;inquire at;جویا شدن از;;Andi hat sich bei mir nach dir erkundigt.;Andi asked me about you.;آندی از من در مورد تو جویا شده است.;;
179;sich ernähren ...;sich ernähren von + D;feed on;تغذیه شدن از;;Pandas ernähren sich hauptsächlich von Bambus.;Pandas mainly feed on bamboo.;پانداها عمدتاً از بامبو تغذیه می‌کنند.;;
180;sich etwas vorstellen …;sich etwas vorstellen unter + D;imagine something as;تصور داشتن از;;Was stellst du dir unter einem perfekten Urlaub vor?;What do you imagine as a perfect vacation?;تو از یک تعطیلات ایده‌آل چه تصوری داری؟;;
181;sich freuen …;sich freuen über + A;be happy about;خوشحالی از;;Ich habe mich über deinen Brief gefreut.;I was happy about your letter.;از نامه‌ات خوشحال شدم.;;
182;sich freuen … ;sich freuen auf + A;look forward to;چشم‌انتظار بودن;;Ich freue mich auf die Reise!;I am looking forward to the trip!;من چشم انتظار سفر هستم!;;
183;sich fürchten ...;sich fürchten vor + D;be afraid of;ترسیدن از;;David fürchtet sich vor seiner Kollegin.;David is afraid of his colleague.;دیوید از همکارش می‌ترسد.;;
184;sich gewöhnen ...;sich gewöhnen an + A;get used to;عادت کردن به;;Du musst dich an diese Situation gewöhnen.;You must get used to this situation.;شما باید به این شرایط عادت کنید.;;
185;sich halten ...;sich halten für + A;consider oneself as;تصور کردن خود به عنوان;;Er hält sich für einen Experten.;He considers himself an expert.;او خودش را یک کارشناس می‌داند.;;
186;sich handeln ...;sich handeln um + A;be about;دربارهٔ چیزی بودن;;Es handelt sich um ein Missverständnis.;It is about a misunderstanding.;این درباره یک سوءتفاهم است.;;
187;sich informieren …;sich informieren über + A;inform about;مطلع شدن دربارهٔ;;Wir sind über den Unfall informiert.;We are informed about the accident.;ما در مورد تصادف مطلع شدیم.;Wir sind ... den Unfall informiert.;
188;sich informieren …;sich informieren bei + D;inform at;مطلع شدن از طریق;;Ich informiere mich bei der Rezeption.;I get information from the reception.;من از پذیرش اطلاعات می‌گیرم.;Ich informiere mich ... der Rezeption.;
189;sich interessieren ...;sich interessieren für + A;be interested in;علاقه‌مند بودن به;;Mein Sohn interessiert sich für deinen Wagen.;My son is interested in your car.;پسرم به ماشین شما علاقه‌مند است.;;
190;sich irren ...;sich irren in + D;be mistaken about;اشتباه کردن دربارهٔ;;Ich habe mich in ihm geirrt.;I was mistaken about him.;من در مورد او اشتباه کردم.;;
191;sich konzentrieren ...;sich konzentrieren auf + A;focus on;تمرکز کردن بر;;Konzentrier dich auf das Wichtige!;Focus on what's important!;روی چیزهای مهم تمرکز کن!;;
192;sich kümmern ...;sich kümmern um + A;take care of;مراقبت کردن از;;Peter kümmert sich um seine Mutter.;Peter is taking care of his mother.;پیتر از مادرش مراقبت می‌کند.;;
193;sich melden ...;sich melden bei + D;report to;گزارش دادن به;;Er meldet sich bei seinem Chef.;He reports to his boss.;او به رئیسش گزارش می‌دهد.;;
194;sich orientieren ...;sich orientieren an + D;orientate at;هماهنگ کردن با;;Bea orientiert sich an ihrer Schwester.;Bea is orienting herself with her sister.;بیا خودش را با خواهرش هماهنگ می‌کند.;;
195;sich rächen ...;sich rächen für + A;take revenge for;انتقام گرفتن برای;;Die Gruppe rächte sich für den Angriff.;The group took revenge for the attack.;گروه برای حمله انتقام گرفت.;Die Gruppe rächte sich ... den Angriff.;
196;sich rächen ...;sich rächen an + D;take revenge on;انتقام گرفتن از;;Die Gruppe rächte sich an der Regierung.;The group took revenge on the government.;گروه از دولت انتقام گرفت.;Die Gruppe rächte sich ... der Regierung.;
197;sich schämen ...;sich schämen für + A;be ashamed of;شرمنده بودن برای;;Er schämt sich für seine Worte im Interview.;He is ashamed of his words in the interview.;او از حرف‌هایش در مصاحبه شرمنده است.;;
198;sich scheiden lassen ...;sich scheiden lassen von + D;get divorced from;طلاق گرفتن از;;Sie lässt sich von ihrem Mann scheiden.;She is getting divorced from her husband.;او از شوهرش طلاق می‌گیرد.;;
199;sich sehnen ...;sich sehnen nach + D;long for;اشتیاق داشتن به;;Er sehnt sich nach Frieden in der Welt.;He longs for peace in the world.;او مشتاق صلح در جهان است.;;
200;sich sorgen ...;sich sorgen um + A;worry about;نگرانی داشتن برای;;Die Großmutter sorgt sich um mich.;The grandmother worries about me.;مادربزرگم نگران من است.;;
201;sich streiten …;sich streiten mit + D;argue with;دعوا کردن با;;Er streitet sich oft mit seinem Bruder.;He often argues with his brother.;او اغلب با برادرش دعوا می‌کند.;Er streitet sich oft ... seinem Bruder.;
202;sich streiten …;sich streiten über + A;argue about;دعوا کردن در مورد;;Die Nachbarn stritten sich über den Lärm.;The neighbors argued about the noise.;همسایه‌ها درباره سر و صدا دعوا کردند.;Die Nachbarn stritten sich ... den Lärm.;
203;sich treffen ...;sich treffen mit + D;meet with;ملاقات کردن با;;Ich treffe mich morgen mit meiner Freundin.;I am meeting with my girld friend tomorrow.;من فردا با دوست‌دخترم ملاقات می‌کنم.;;
204;sich trennen ...;sich trennen von + D;separate from;جدا شدن از;;Sie hat sich von ihrem Freund getrennt.;She has separated from her boyfriend.;او از دوست‌پسرش جدا شده است.;;
205;sich umdrehen ...;sich umdrehen nach + D;turn around after;رو برگرداندن به سمتِ;;Sie dreht sich nach dem Lärm um.;She turns around to look at the noise.;او به سمت صدا برمی‌گردد.;;
206;sich unterhalten …;sich unterhalten mit + D;chat with;گپ زدن با;;Gerd unterhält sich mit seiner Kollegin.;Gerd is talking with his colleague.;گرد با همکارش صحبت می‌کند.;Gerd unterhält sich ... seiner Kollegin.;
207;sich unterhalten …;sich unterhalten über + A;talk about;گفتگو در مورد;;Wir unterhalten uns über den Film.;We talk about the movie.;ما در مورد فیلم صحبت می‌کنیم.;Wir unterhalten uns ... den Film.;
208;sich unterscheiden ...;sich unterscheiden von + D;differ from;متفاوت بودن از;;Julia unterscheidet sich sehr von ihrer Schwester.;Julia is very different from her sister.;جولیا بسیار متفاوت از خواهرش است.;;
209;sich verabreden ...;sich verabreden mit + D;make an appointment with;قرار گذاشتن با;;Leon verabredet sich mit Maja.;Leon has made an appointment with Maja.;لئون با مایا قرار گذاشته است.;;
210;sich verabschieden ...;sich verabschieden von + D;say goodbye to;خداحافظی کردن از;;Darf ich mich von Ihnen verabschieden?;May I say goodbye to you?;آیا می‌توانم از شما خداحافظی کنم؟;;
211;sich verändern ...;sich verändern zu + D;change into;تغییر کردن به;;Das Wetter verändert sich zu einem Sturm.;The weather is changing into a storm.;هوا به یک هوای طوفانی تغییر می‌کند.;;
212;sich verlassen ...;sich verlassen auf + A;rely on;اتکا کردن به;;Auf meine Freundin kann ich mich immer verlassen.;I can always rely on my girlfriend.;همیشه می‌توانم به دوست دخترم تکیه کنم.;;
213;sich verlieben …;sich verlieben in + A;fall in love with;عاشق شدن به;;Birgit hat sich in meinen Bruder verliebt.;Birgit has fallen in love with my brother.;بیرگیت عاشق برادرم شده است.;;
214;sich verloben ...;sich verloben mit + D;get engaged with;نامزد کردن با;;Sie will sich bald mit ihm verloben.;She wants to get engaged to him soon.;او به زودی قصد دارد با او نامزد کند.;;
215;sich versöhnen ...;sich versöhnen mit + D;reconcile with;آشتی کردن با;;Versöhn dich doch mit deiner Familie!;Reconcile with your family!;با خانواده‌ات آشتی کن!;;
216;sich verstecken ...;sich verstecken vor + D;hide from;پنهان شدن از;;Warum versteckst du dich vor mir?;Why are you hiding from me?;چرا از من پنهان می‌شوی؟;;
217;sich verstehen ...;sich verstehen mit + D;get along with;کنار آمدن با;;Wie verstehst du dich mit deinen Eltern?;How do you get along with your parents?;چطور با والدینت کنار می‌آیی؟;;
218;sich verteidigen ...;sich verteidigen gegen + A;defend against;دفاع کردن در برابر;;Er verteidigt sich gegen die Vorwürfe.;He is defending himself against the accusations.;او در برابر اتهامات دفاع می‌کند.;;
219;sich vertragen ...;sich vertragen mit + D;get along with;سازگاری داشتن با;;Die Länder vertragen sich mit ihren Nachbarn.;The countries get along with their neighbors.;کشورها با همسایگان خود سازگاری دارند.;;
220;sich vorbereiten ...;sich vorbereiten auf + A;prepare for;آماده شدن برای;;Hast du dich auf deine Prüfung gut vorbereitet?;Have you prepared well for your exam?;آیا برای امتحانت خوب آماده شده‌ای؟;;
221;sich wehren ...;sich wehren gegen + A;defend against;مقاومت کردن در برابر;;Du musst dich gegen diese Ungerechtigkeit wehren.;You must defend yourself against this injustice.;شما باید در برابر این بی‌عدالتی دفاع کنید.;;
222;sich wundern ...;sich wundern über + A;wonder about;تعجب کردن از;;Die Reporter wundern sich über die schnelle Entscheidung des Gerichts.;The reporters are surprised by the court's swift decision.;خبرنگاران از تصمیم سریع دادگاه شگفت‌زده شده‌اند.;;
223;siegen ...;siegen über + A;triumph over;پیروزی یافتن بر;;Das Team siegte über den Gegner im Finale.;The team triumphed over the opponent in the final.;تیم در فینال بر حریف پیروز شد.;;
224;sorgen ...;sorgen für + A;care for;مراقبت کردن از;;Anna muss allein für ihren Sohn sorgen.;Anna must take care of her son alone.;آنا باید به تنهایی از پسرش مراقبت کند.;;
225;sparen ...;sparen für + A;save for;پس‌انداز کردن برای;;Wir sparen für eine lange Weltreise.;We are saving for a long world trip.;ما برای سفر طولانی به دور دنیا پس‌انداز می‌کنیم.;;
226;spielen ...;spielen um + A;play for;بازی کردن برای;;Das Team spielt um den dritten Platz.;The team is playing for third place.;تیم برای کسب مقام سوم بازی می‌کند.;;
227;sprechen …;sprechen mit + D;talk to;صحبت کردن با;;Wann sprichst du mit deiner Schwester?;When will you talk to your sister?;کی با خواهرت صحبت خواهی کرد؟;Wann sprichst du ... deiner Schwester?;
228;sprechen …;sprechen über + A;talk about;صحبت در مورد;;Wir müssen über den Zeitplan sprechen;We need to talk about the schedule.;ما باید در مورد برنامه زمانی صحبت کنیم.;Wir müssen ... den Zeitplan sprechen;
229;sprechen …;sprechen von + D;talk of;صحبت از;;Nino hat von dir gesprochen.;Nino has talked about you.;نینو درباره تو صحبت کرده است.;Nino hat ... dir gesprochen.;
230;staunen ...;staunen über + A;be amazed at;شگفت‌زده شدن از;;Maxi staunt über die Tiere im Zoo.;Maxi is amazed at the animals in the zoo.;ماکسی از حیوانات در باغ وحش حیرت زده شده است.;;
231;sterben ...;sterben an + D;die of;مرگ بر اثر;;Viele Menschen sterben an der Krankheit.;Many people die of the disease.;بسیاری از مردم به خاطر بیماری می‌میرند.;;
232;stimmen ...;stimmen für + A;vote for;رأی دادن برای;;Die Bürger stimmen für die Reform.;The citizens vote for the reform.;شهروندان به نفع اصلاحات رأی می‌دهند.;;
233;stinken ...;stinken nach + D;smell of;بوی بد دادن مثل;;Hier stinkt es nach altem Fett.;It smells like old fat here.;اینجا بوی بد چربی کهنه می‌دهد.;;
234;stören ...;stören bei + D;disturb during;مزاحمت کردن در;;Bitte stör mich nicht bei dem Telefonat.;Please do not disturb me during the phone call.;لطفاً در طول تماس تلفنی مزاحم من نشوید.;;
235;streben ...;streben nach + D;strive for;با کوشش به دنبال چیزی بودن;;Viele Menschen streben nach Glück.;Many people strive for happiness.;بسیاری از مردم به دنبال خوشبختی هستند.;;
236;streiken ...;streiken für + A;strike for;اعتصاب کردن برای;;Die Arbeiter streiken für höhere Löhne.;The workers are striking for higher wages.;کارگران برای دستمزد بالاتر اعتصاب می‌کنند.;;
237;suchen ...;suchen nach + D;search for;جستجو کردن برای;;Alle suchen nach dem großen Glück.;Everyone is searching for great happiness.;همه به دنبال خوشبختی عظیم هستند.;;
238;tauschen ...;tauschen gegen + A;exchange for;مبادله کردن با;;Er tauscht sein altes Auto gegen ein neues.;He exchanges his old car for a new one.;او ماشین قدیمی‌اش را با یکی جدید معاوضه می‌کند.;;
239;teilen ...;teilen in + A;divide into;تقسیم کردن به;;Wir teilen den Kuchen in acht Stücke.;We divide the cake into eight pieces.;ما کیک را به هشت قسمت تقسیم می‌کنیم.;;
240;teilnehmen ...;teilnehmen an + D;participate in;شرکت کردن در;;Lena nimmt an dem Wettbewerb teil.;Lena participates in the competition.;لنا در مسابقه شرکت می‌کند.;;
241;telefonieren ...;telefonieren mit + D;talk on the phone with;با تلفن صحبت کردن;;Chrissy telefoniert mit ihrer besten Freundin.;Chrissy is talking on the phone with her best friend.;کریسی با بهترین دوستش در تلفن صحبت می‌کند.;;
242;trauern ...;trauern um + A;mourn for;عزاداری کردن برای;;Die Familie trauert um den verstorbenen Großvater.;The family mourns for the deceased grandfather.;خانواده برای پدربزرگ فوت شده‌شان عزاداری می‌کنند.;;
243;träumen ...;träumen von + D;dream of;رویا داشتن;;Viele träumen von einem Haus mit Garten.;Many dream of a house with a garden.;بسیاری رویای خانه‌ای با باغچه را دارند.;;
244;trinken ...;trinken auf + A;drink to;نوشیدن به;;Trinken wir auf dein Wohl!;Let's drink to your health!;به سلامتی شما بنوشیم!;;
245;überraschen ...;überraschen mit + D;surprise with;غافلگیر کردن با;;Er hat sie mit einem Geschenk überrascht.;He surprised her with a gift.;او او را با هدیه‌ای غافلگیر کرد.;;
246;überreden ...;überreden zu + D;persuade to;متقاعد کردن (از طریق تأثیرگذاری عاطفی یا فشار آوردن);;Ich habe ihn dazu überredet, mit uns zu kommen.;I persuaded him to come with us.;من او را متقاعد کردم که با ما بیاید.;;
247;übersetzen …;übersetzen aus + D;translate from;ترجمه کردن از;;Luther hat die Bibel aus dem Lateinischen übersetzt.;Luther translated the Bible from Latin.;لوتر کتاب مقدس را از لاتین ترجمه کرد.;Luther hat die Bibel ... dem Lateinischen übersetzt.;
248;übersetzen …;übersetzen in + A;translate into;ترجمه کردن به;;Das Buch wird in viele Sprachen übersetzt.;The book is translated into many languages.;این کتاب به زبان‌های زیادی ترجمه شده است.;Das Buch wird ... viele Sprachen übersetzt.;
249;übertragen … ;übertragen auf + A;transfer to;انتقال دادن به / منتقل کردن به;;Wir haben die Verantwortung auf ihn übertragen.;We transferred the responsibility to him.;ما مسئولیت را به او منتقل کردیم.;;
250;überweisen ...;überweisen auf + A;transfer to;انتقال دادن پول به;;Bitte überweisen Sie das Geld auf mein Konto.;Please transfer the money to my account.;لطفاً پول را به حساب من انتقال دهید.;;
251;überzeugen ...;überzeugen von + D;convince of;متقاعد کردن (از طریق استدلال و منطق);;Ich werde ihn von meiner Unschuld überzeugen.;I will convince him of my innocence.;من او را از بی‌گناهی خود متقاعد خواهم کرد.;;
252;unterrichten …;unterrichten in + D;teach;آموزش دادن در;;Sie unterrichtet Marion im Flamencotanzen.;She teaches Marion Flamenco dancing.;او به ماریون رقص فلامنکو یاد می‌دهد.;;
253;untersuchen ...;untersuchen auf + A;test for;آزمایش کردن برای;;Das Wasser wird auf Bakterien untersucht.;The water is being tested for bacteria.;آب برای باکتری‌ها آزمایش می‌شود.;;
254;verbinden ...;verbinden mit + D;connect with;وصل کردن به;;Können Sie mich mit Herrn Mayr verbinden?;Can you connect me with Mr. Mayr?;می‌توانید من را به آقای مایر وصل کنید؟;;
255;verdienen ...;verdienen mit + D;earn with;کسب درآمد از;;Sie verdient gut mit ihren Online-Kursen.;She earns well with her online courses.;او از دوره‌های آنلاینش خوب درآمد کسب می‌کند.;;
256;verfügen ...;verfügen über + A;have at one's disposal;در دست داشتن / در اختیار داشتن;;Die Stadt verfügt über neue Pläne zur Verbesserung der Verkehrsinfrastruktur.;The city has new plans to improve the traffic infrastructure.;شهر برنامه‌های جدیدی برای بهبود زیرساخت‌های ترافیکی در دست دارد.;;
257;vergleichen ...;vergleichen mit + D;compare with;مقایسه کردن با;;Soll man sich immer mit anderen vergleichen?;Should one always compare oneself with others?;آیا همیشه باید خود را با دیگران مقایسه کرد؟;;
258;verheimlichen ...;verheimlichen vor + D;conceal from;پنهان کردن از;;Der Politiker hat wichtige Informationen vor der Öffentlichkeit verheimlicht.;The politician concealed important information from the public.;سیاستمدار اطلاعات مهمی را از عموم مردم پنهان کرده است.;;
259;verklagen ...;verklagen auf + A;sue for;شکایت کردن برای;;Ich verklage ihn auf Schadenersatz.;I am suing him for damages.;من از او  برای خسارت شکایت می‌کنم.;;
260;verlangen ...;verlangen nach + D;demand for;درخواست کردن برای (تقاضا یا نیاز شدید به چیزی);;Sie verlangt nach mehr Freiheit in ihrer Arbeit.;She demands for more freedom in her work.;او خواستار آزادی بیشتر در کارش است.;;
261;verlängern ...;verlängern auf + A;extend to;تمدید کردن به;;Die Arbeitszeit wird auf sechs Wochentage verlängert.;The working hours are extended to six weekdays.;ساعات کاری به شش روز هفته افزایش یافته است.;;
262;vermieten ...;vermieten an + A;rent to;اجاره دادن به;;Julian vermietet die Wohnung an seinen Bruder.;Julian rents out the apartment to his brother.;جولیان آپارتمان را به برادرش اجاره می‌دهد.;;
263;veröffentlichen ...;veröffentlichen bei + D;publish at;انتشار دادن در;;Das Buch wird bei einem bekannten Verlag veröffentlicht.;The book is being published by a well-known publisher.;کتاب توسط ناشر معروفی منتشر می‌شود.;;
264;verraten ...;verraten an + A;betray to / reveal the secrets to;خیانت کردن به / فاش کردن راز;;Der Soldat wurde an den Feind verraten.;The soldier was betrayed to the enemy.;سرباز به دشمن خیانت کرد.;;
265;verschieben ...;verschieben auf + A;postpone to;به تعویق انداختن به;;Wir müssen den Termin auf kommenden Freitag verschieben.;We have to reschedule the appointment to next Friday.;ما باید قرارمان را به جمعه آینده تغییر دهیم.;;
266;versichern ...;versichern gegen + A;insure against;بیمه کردن در برابر;;Wir müssen das Haus gegen Feuer versichern.;We have to insure the house against fire.;ما باید خانه را در برابر آتش بیمه کنیم.;;
267;verstehen ...;verstehen von + D;understand about;درک کردن از;;Tom versteht nichts von Kindern, er hat keine.;Tom knows nothing about children, he doesn’t have any.;تام هیچ چیزی درباره بچه‌ها نمی‌داند، او بچه ندارد.;;
268;vertrauen ...;vertrauen auf + A;trust in;اعتماد کردن به;;Manchmal muss man auf die Hilfe von anderen vertrauen.;Sometimes you have to rely on the help of others.;گاهی اوقات باید به کمک دیگران تکیه کنید.;;
269;verurteilen ...;verurteilen zu + D;sentence to;محکوم کردن به;;Er wurde zu fünf Jahren Gefängnis verurteilt.;He was sentenced to five years in prison.;او به پنج سال زندان محکوم شد.;;
270;verwechseln ...;verwechseln mit + D;confuse with;اشتباه گرفتن با;;Ich glaube, sie verwechseln mich mit meiner Schwester.;I think you are mistaking me for my sister.;فکر می‌کنم شما من را با خواهرم اشتباه گرفته‌اید.;;
271;verwenden ...;verwenden als + A;use as;استفاده کردن به عنوان;;Sie verwenden das alte Gebäude als Museum.;They use the old building as a museum.;آن‌ها ساختمان قدیمی را به عنوان موزه استفاده می‌کنند.;;
272;verzichten ...;verzichten auf + A;renounce / waive;صرف نظر کردن از / چشم‌پوشی کردن از;;Ich habe auf Kaffee verzichtet, um besser schlafen zu können.;I renounce coffee to sleep better.;من برای خواب بهتر از قهوه چشم پوشی کردم.;;
273;wählen ...;wählen zu + D;elect as;انتخاب کردن به عنوان;;Sie wählten Ines zur Klassensprecherin.;They elected Ines as class representative.;آنها اینس را به عنوان نماینده کلاس انتخاب کردند.;;
274;warnen ...;warnen vor + D;warn of;هشدار دادن در مورد;;Die Meteorologen warnen vor starken Regenfällen.;Meteorologists are warning of heavy rainfall.;هواشناسان در مورد بارش شدید باران هشدار می‌دهند.;;
275;warten ...;warten auf + A;wait for;انتظار کشیدن برای;;Ich musste eine Stunde auf meinen Bruder warten.;I had to wait an hour for my brother.;من مجبور بودم یک ساعت منتظر برادرم بمانم.;Ich musste eine Stunde ... meinen Bruder warten.;
276;warten ...;warten mit + D;wait with;تأخیر انداختن اقدامی ضروری تا زمان مناسب;;Warte noch mit deiner Kündigung!;Wait with your resignation!;برای استعفا دادن صبر کن.;Warte noch ... deiner Kündigung!;
277;weinen ...;weinen über + A;cry over;گریه کردن برای;;Andi weinte sehr über den Tod seiner Mutter.;Andi cried a lot over the death of his mother.;آندی بر سر مرگ مادرش بسیار گریست.;;
278;weitergeben ...;weitergeben an + A;pass on to;انتقال دادن به;;Der Polizist gab die Information an die Presse weiter.;The police officer passed the information on to the press.;افسر پلیس اطلاعات را به مطبوعات منتقل کرد.;;
279;werben ...;werben für + A;advertise for;تبلیغ کردن برای;;Die Firma wirbt für ihren neuen Computer.;The company is advertising their new computer.;شرکت در حال تبلیغ کامپیوتر جدید خود است.;;
280;werden ...;werden aus + D;become of;شدن از;;Was ist denn aus deiner Freundin Sandra geworden?;What has become of your friend Sandra?;اون دوستت ساندرا چه شد؟;Was ist denn ... deiner Freundin Sandra geworden?;
281;werden ...;werden zu + D;become;تبدیل شدن به;;Das kann noch zu einem Problem werden.;This can still become a problem.;این همچنان می‌تواند به یک مشکل تبدیل شود.;Das kann noch ... einem Problem werden.;
282;wetten ...;wetten um + A;bet for;شرط بندی کردن برای;;Ich wette mit dir um eine Flasche Wein, dass das stimmt!;I bet you a bottle of wine that it's true!;من با شما به یک بطری شراب شرط می‌بندم که حقیقت دارد!;;
283;wissen ...;wissen über + A;know about;دانستن در مورد;;Was weißt du über den Skandal?;What do you know about the scandal?;شما در مورد رسوایی چه می‌دانید؟;;
284;zahlen ...;zahlen für + A;pay for;پرداخت کردن برای;;Ich zahle für den Schaden.;I will pay for the damage.;من خسارت را پرداخت می‌کنم.;;
